1	0	0	al-fātiḥa 	الفَاتِحَة
1	1	1	bi-smi 	بِسۡمِ
1	1	2	llāhi 	ٱللَّهِ
1	1	3	r-raḥmāni 	ٱلرَّحۡمَٰنِ
1	1	4	r-raḥīmi 	ٱلرَّحِيمِ
1	2	1	l-ḥamdu 	ٱلۡحَمۡدُ
1	2	2	li-llāhi 	لِلَّهِ
1	2	3	rabbi 	رَبِّ
1	2	4	l-ʿālamīna 	ٱلۡعَٰلَمِينَ
1	3	1	r-raḥmāni 	ٱلرَّحۡمَٰنِ
1	3	2	r-raḥīmi 	ٱلرَّحِيمِ
1	4	1	māliki 	مَٰلِكِ
1	4	2	yaumi 	يَوۡمِ
1	4	3	d-dīni 	ٱلدِّينِ
1	5	1	ʾiyyāka 	إِيَّاكَ
1	5	2	naʿbudu 	نَعۡبُدُ
1	5	3	wa-ʾiyyāka 	وَإِيَّاكَ
1	5	4	nastaʿīnu 	نَسۡتَعِينُ
1	6	1	hdina 	ٱهۡدِنَا
1	6	2	ṣ-ṣirāṭa 	ٱلصِّرَٰطَ
1	6	3	l-mustaqīma 	ٱلۡمُسۡتَقِيمَ
1	7	1	ṣirāṭa 	صِرَٰطَ
1	7	2	llaḏīna 	ٱلَّذِينَ
1	7	3	ʾanʿamta 	أَنۡعَمۡتَ
1	7	4	ʿalaihim 	عَلَيۡهِمۡ
1	7	5	ġairi 	غَيۡرِ
1	7	6	l-maġḍūbi 	ٱلۡمَغۡضُوبِ
1	7	7	ʿalaihim 	عَلَيۡهِمۡ
1	7	8	wa-la	وَلَا
1	7	9	ḍ-ḍāllīna	ٱلضَّآلِّينَ
2	0	0	al-baqara	البَقَرَة
2	0	1	bi-smi 	بِسۡمِ
2	0	2	llāhi 	ٱللَّهِ
2	0	3	r-raḥmāni 	ٱلرَّحۡمَٰنِ
2	0	4	r-raḥīmi 	ٱلرَّحِيمِ
2	1	1	ʾalif-lām-mīm	الٓمٓ
2	2	1	ḏālika	ذَٰلِكَ
2	2	2	l-kitābu	ٱلۡكِتَٰبُ
